,0
174,0.0
175,0.0
176,6.0
177,3.0
178,0.0
179,3.0
180,6.0
181,3.0
182,6.0
183,6.0
184,6.0
185,6.0
186,7.0
187,6.0
188,6.0
189,3.0
190,7.0
191,6.0
192,4.0
193,6.0
194,7.0
195,0.0
196,2.0
197,6.0
198,0.0
199,7.0
200,6.0
201,7.0
202,5.0
203,0.0
204,6.0
205,6.0
206,6.0
207,6.0
208,7.0
209,6.0
210,4.0
211,3.0
212,7.0
213,1.0
214,5.0
215,7.0
216,6.0
217,6.0
218,6.0
219,6.0
220,6.0
221,2.0
222,2.0
223,7.0
224,6.0
225,6.0
226,0.0
227,1.0
228,6.0
229,7.0
230,0.0
231,6.0
232,3.0
233,6.0
234,7.0
235,6.0
236,6.0
237,0.0
238,3.0
239,6.0
240,5.0
241,2.0
242,6.0
243,6.0
244,4.0
245,6.0
246,0.0
247,2.0
248,7.0
249,6.0
250,5.0
251,6.0
252,6.0
253,3.0
254,6.0
255,1.0
256,6.0
257,6.0
258,6.0
259,6.0
260,7.0
261,6.0
262,6.0
263,6.0
264,2.0
265,2.0
266,0.0
267,0.0
268,1.0
269,3.0
270,6.0
271,0.0
272,6.0
273,6.0
274,5.0
275,0.0
276,1.0
277,7.0
278,6.0
279,6.0
280,3.0
281,3.0
282,6.0
283,6.0
284,6.0
285,0.0
286,6.0
287,0.0
288,0.0
289,6.0
290,7.0
291,7.0
292,6.0
293,6.0
294,6.0
295,6.0
296,6.0
297,6.0
298,0.0
299,1.0
300,3.0
301,6.0
302,3.0
303,7.0
304,6.0
305,0.0
306,3.0
307,2.0
308,6.0
309,1.0
310,6.0
311,0.0
312,2.0
313,0.0
314,7.0
315,6.0
316,2.0
317,6.0
318,0.0
319,4.0
320,6.0
321,6.0
322,6.0
323,8.0
324,7.0
325,3.0
326,6.0
327,3.0
328,3.0
329,0.0
330,0.0
331,7.0
332,1.0
333,6.0
334,7.0
335,4.0
336,6.0
337,6.0
338,4.0
339,0.0
340,6.0
341,0.0
342,0.0
343,5.0
344,5.0
345,1.0
346,6.0
347,2.0
348,8.0
349,6.0
350,6.0
351,6.0
352,6.0
353,0.0
354,0.0
355,0.0
356,3.0
357,6.0
358,2.0
359,6.0
360,7.0
361,6.0
362,4.0
363,6.0
364,8.0
365,6.0
366,0.0
367,0.0
368,0.0
369,8.0
370,7.0
371,6.0
372,6.0
373,6.0
374,6.0
375,6.0
376,4.0
377,6.0
378,2.0
379,0.0
380,8.0
381,0.0
382,0.0
383,7.0
384,3.0
385,0.0
386,8.0
387,0.0
388,6.0
389,7.0
390,0.0
391,4.0
392,7.0
393,0.0
394,3.0
395,6.0
396,0.0
397,3.0
398,0.0
399,6.0
400,4.0
401,6.0
402,6.0
403,6.0
404,6.0
405,5.0
406,7.0
407,0.0
408,0.0
409,7.0
410,6.0
411,3.0
412,6.0
413,7.0
414,6.0
415,6.0
416,3.0
417,6.0
418,0.0
419,0.0
420,6.0
421,6.0
422,1.0
423,7.0
424,7.0
425,3.0
426,6.0
427,6.0
428,0.0
429,7.0
430,6.0
431,6.0
432,0.0
433,6.0
434,6.0
435,0.0
436,6.0
437,0.0
438,6.0
439,0.0
440,5.0
441,3.0
442,0.0
443,0.0
444,7.0
445,6.0
446,0.0
447,6.0
448,6.0
449,3.0
450,8.0
451,6.0
452,7.0
453,0.0
454,6.0
455,0.0
456,4.0
457,7.0
458,8.0
459,6.0
460,6.0
461,0.0
462,6.0
463,3.0
464,0.0
465,0.0
466,6.0
467,6.0
468,8.0
469,1.0
470,0.0
471,6.0
472,2.0
473,0.0
474,2.0
475,6.0
476,6.0
477,3.0
478,6.0
479,7.0
480,7.0
481,6.0
482,6.0
483,0.0
484,6.0
485,6.0
486,7.0
487,8.0
488,6.0
489,3.0
490,2.0
491,7.0
492,0.0
493,6.0
494,6.0
495,5.0
496,0.0
497,4.0
498,1.0
499,3.0
500,6.0
501,0.0
502,6.0
503,8.0
504,0.0
505,6.0
506,6.0
507,7.0
508,6.0
509,6.0
510,7.0
511,3.0
512,1.0
513,1.0
514,0.0
515,0.0
516,7.0
517,7.0
518,3.0
519,5.0
520,6.0
521,6.0
522,7.0
523,6.0
524,0.0
525,7.0
526,6.0
527,0.0
528,6.0
529,0.0
530,4.0
531,3.0
532,6.0
533,6.0
534,6.0
535,5.0
536,0.0
537,6.0
538,6.0
539,0.0
540,6.0
541,6.0
542,2.0
543,0.0
544,0.0
545,6.0
546,0.0
547,7.0
548,6.0
549,6.0
550,0.0
551,0.0
552,6.0
553,0.0
554,0.0
555,2.0
556,0.0
557,6.0
